Name,Country,Latitude,Longitude,Type
INS Kadamba,India,14.8041,74.1335,Navy
INS Vikramaditya,India,19.6697,72.9312,Navy (Aircraft Carrier)
INS Rajali,India,12.5798,79.7883,Navy (Air Station)
Ambala Air Force Station,India,30.3719,76.7767,Air Force
Pathankot Air Force Station,India,32.2336,75.6344,Air Force
Leh Airbase,India,34.1359,77.5469,Air Force
Chandimandir Cantonment,India,30.7546,76.8173,Army
Jaisalmer Military Station,India,26.8914,70.8723,Army
INS Hansa,India,15.3762,73.8325,Navy (Air Station)
Kalaikunda Air Force Station,India,22.8352,87.2188,Air Force
Camp Humphreys,South Korea,36.9631,127.0202,Army
Ramstein Air Base,Germany,49.4369,7.6003,Air Force
RAF Lakenheath,UK,52.4093,0.5618,Air Force
Naval Station Norfolk,USA,36.9467,-76.3303,Navy
Fort Bragg,USA,35.1390,-78.9996,Army
Nellis Air Force Base,USA,36.2362,-115.0332,Air Force
Diego Garcia,British Indian Ocean Territory,-7.3133,72.4114,Navy/Air Force
Guantanamo Bay Naval Base,Cuba,19.9066,-75.2071,Navy
Yokosuka Naval Base,Japan,35.2836,139.6675,Navy
Edwards Air Force Base,USA,34.9054,-117.8830,Air Force
Misawa Air Base,Japan,40.7032,141.3677,Air Force
Naval Base Kitsap,USA,47.5591,-122.6367,Navy
Haifa Naval Base,Israel,32.8184,35.0078,Navy
Taji Military Base,Iraq,33.5311,44.2394,Army
Thule Air Base,Greenland,76.5312,-68.7032,Air Force
Minot Air Force Base,USA,48.4158,-101.3608,Air Force
Pearl Harbor Naval Base,USA,21.3456,-157.9509,Navy
Al Udeid Air Base,Qatar,25.1184,51.3142,Air Force
Naval Base San Diego,USA,32.6852,-117.1417,Navy
Andersen Air Force Base,Guam,13.5841,144.9300,Air Force
INS Shivaji,India,18.7717,73.5093,Navy (Training)
INS Garuda,India,9.9510,76.2743,Navy (Air Station)
Tezpur Air Force Station,India,26.7094,92.7848,Air Force
Jodhpur Air Force Station,India,26.2518,73.0487,Air Force
INS Venduruthy,India,9.9661,76.2707,Navy
